Kingdom,Phylum,Class,Order,Family,Genus,Species,OTU
Phytoplankton,Bacillariophyta,Coscinodiscophyceae,Rhizosoleniales,Rhizosoleniaceae,Rhizosolenia,Rhizosolenia setigera,Rhizosolenia setigera
Phytoplankton,Bacillariophyta,Coscinodiscophyceae,Stephanodiscales,Stephanodiscaceae,Discostella,Discostella sp. clade A (type II),Discostella sp. clade A (type II)
Phytoplankton,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,Chaetoceros tenuissimus,Chaetoceros tenuissimus
Phytoplankton,Bacillariophyta,Coscinodiscophyceae,Stephanodiscales,Stephanodiscaceae,Cyclotella,Cyclotella cryptica,Cyclotella cryptica
Phytoplankton,Bacillariophyta,Bacillariophyceae,Naviculales,Pinnulariaceae,Pinnularia,Pinnularia sp. 9 CS-2011,Pinnularia sp. 9 CS-2011
Phytoplankton,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,Chaetoceros socialis,Chaetoceros socialis
Phytoplankton,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira rotula,Thalassiosira rotula
Phytoplankton,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Skeletonemataceae,Skeletonema,Skeletonema menzelii,Skeletonema menzelii
Phytoplankton,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira punctigera,Thalassiosira punctigera
Phytoplankton,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Skeletonemataceae,Skeletonema,Skeletonema menzelii,Skeletonema menzelii
Phytoplankton,Bacillariophyta,Coscinodiscophyceae,Rhizosoleniales,Rhizosoleniaceae,Guinardia,Guinardia delicatula,Guinardia delicatula
Phytoplankton,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,Chaetoceros tenuissimus,Chaetoceros tenuissimus
Phytoplankton,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira rotula,Thalassiosira rotula
Phytoplankton,Bacillariophyta,Coscinodiscophyceae,Stephanodiscales,Stephanodiscaceae,Cyclotella,Cyclotella cryptica,Cyclotella cryptica
Phytoplankton,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira rotula,Thalassiosira rotula
Phytoplankton,Bacillariophyta,Bacillariophyceae,Naviculales,Pleurosigmataceae,Pleurosigma,Pleurosigma inscriptura,Pleurosigma inscriptura
Phytoplankton,Bacillariophyta,Coscinodiscophyceae,Rhizosoleniales,Rhizosoleniaceae,Guinardia,Guinardia delicatula,Guinardia delicatula
Phytoplankton,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira rotula,Thalassiosira rotula
Phytoplankton,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira rotula,Thalassiosira rotula
Phytoplankton,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Skeletonemataceae,Skeletonema,Skeletonema subsalsum,Skeletonema subsalsum
Phytoplankton,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,Chaetoceros socialis,Chaetoceros socialis
Phytoplankton,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Skeletonemataceae,Skeletonema,Skeletonema potamos,Skeletonema potamos
Phytoplankton,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Skeletonemataceae,Skeletonema,Skeletonema menzelii,Skeletonema menzelii
Phytoplankton,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira nordenskioeldii,Thalassiosira nordenskioeldii
Phytoplankton,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira rotula,Thalassiosira rotula
Phytoplankton,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,Chaetoceros tenuissimus,Chaetoceros tenuissimus
Phytoplankton,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Schizostauron,Schizostauron trachyderma,Schizostauron trachyderma
Phytoplankton,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira rotula,Thalassiosira rotula
Phytoplankton,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Skeletonemataceae,Skeletonema,Skeletonema menzelii,Skeletonema menzelii
Phytoplankton,Bacillariophyta,Coscinodiscophyceae,Rhizosoleniales,Rhizosoleniaceae,Guinardia,Guinardia delicatula,Guinardia delicatula
Phytoplankton,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira rotula,Thalassiosira rotula
Phytoplankton,Bacillariophyta,Coscinodiscophyceae,Stephanodiscales,Stephanodiscaceae,Stephanodiscus,Stephanodiscus cf. minutulus,Stephanodiscus cf. minutulus
Phytoplankton,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira rotula,Thalassiosira rotula
Phytoplankton,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,Chaetoceros tenuissimus,Chaetoceros tenuissimus
Phytoplankton,Bacillariophyta,Coscinodiscophyceae,Rhizosoleniales,Rhizosoleniaceae,Guinardia,Guinardia striata,Guinardia striata
Phytoplankton,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira rotula,Thalassiosira rotula
Phytoplankton,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira rotula,Thalassiosira rotula
Phytoplankton,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Haslea,Haslea ostrearia,Haslea ostrearia
Phytoplankton,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Skeletonemataceae,Skeletonema,Skeletonema menzelii,Skeletonema menzelii
Phytoplankton,Bacillariophyta,Fragilariophyceae,Thalassionemales,Thalassionemataceae,Thalassionema,Thalassionema nitzschioides,Thalassionema nitzschioides
Phytoplankton,Bacillariophyta,Fragilariophyceae,Thalassionemales,Thalassionemataceae,Thalassionema,Thalassionema nitzschioides,Thalassionema nitzschioides
Phytoplankton,Bacillariophyta,Fragilariophyceae,Thalassionemales,Thalassionemataceae,Thalassionema,Thalassionema nitzschioides,Thalassionema nitzschioides
Phytoplankton,Bacillariophyta,Mediophyceae,Cymatosirales,Cymatosiraceae,Minutocellus,Minutocellus polymorphus,Minutocellus polymorphus
Phytoplankton,Bacillariophyta,Mediophyceae,Lithodesmiales,Lithodesmiaceae,Ditylum,Ditylum brightwellii,Ditylum brightwellii
Phytoplankton,Bacillariophyta,Mediophyceae,Cymatosirales,Cymatosiraceae,Minutocellus,Minutocellus polymorphus,Minutocellus polymorphus
Phytoplankton,Bacillariophyta,Mediophyceae,Cymatosirales,Cymatosiraceae,Minutocellus,Minutocellus polymorphus,Minutocellus polymorphus
Phytoplankton,Bacillariophyta,Mediophyceae,Cymatosirales,Cymatosiraceae,Minutocellus,Minutocellus polymorphus,Minutocellus polymorphus
Phytoplankton,Bacillariophyta,Mediophyceae,Cymatosirales,Cymatosiraceae,Minutocellus,Minutocellus polymorphus,Minutocellus polymorphus
Phytoplankton,Bacillariophyta,Mediophyceae,Cymatosirales,Cymatosiraceae,Minutocellus,Minutocellus polymorphus,Minutocellus polymorphus
Phytoplankton,Bacillariophyta,Mediophyceae,Lithodesmiales,Lithodesmiaceae,Lithodesmium,Lithodesmium intricatum,Lithodesmium intricatum
Phytoplankton,Bacillariophyta,Mediophyceae,Cymatosirales,Cymatosiraceae,Minutocellus,Minutocellus polymorphus,Minutocellus polymorphus
Phytoplankton,Bacillariophyta,Mediophyceae,Lithodesmiales,Lithodesmiaceae,Lithodesmium,Lithodesmium undulatum,Lithodesmium undulatum
Phytoplankton,Bacillariophyta,Mediophyceae,Cymatosirales,Cymatosiraceae,Minutocellus,Minutocellus polymorphus,Minutocellus polymorphus
Phytoplankton,Bacillariophyta,Mediophyceae,Lithodesmiales,Lithodesmiaceae,Ditylum,Ditylum brightwellii,Ditylum brightwellii
Phytoplankton,Bacillariophyta,Mediophyceae,Lithodesmiales,Lithodesmiaceae,Lithodesmium,Lithodesmium undulatum,Lithodesmium undulatum
Phytoplankton,Bacillariophyta,Mediophyceae,Lithodesmiales,Lithodesmiaceae,Lithodesmium,Lithodesmium intricatum,Lithodesmium intricatum
Phytoplankton,Bacillariophyta,Mediophyceae,Cymatosirales,Cymatosiraceae,Minutocellus,Minutocellus polymorphus,Minutocellus polymorphus
Phytoplankton,Bacillariophyta,Mediophyceae,Cymatosirales,Cymatosiraceae,Minutocellus,Minutocellus polymorphus,Minutocellus polymorphus
Phytoplankton,Bacillariophyta,Mediophyceae,Cymatosirales,Cymatosiraceae,Minutocellus,Minutocellus polymorphus,Minutocellus polymorphus
Phytoplankton,Bacillariophyta,Mediophyceae,Cymatosirales,Cymatosiraceae,Minutocellus,Minutocellus polymorphus,Minutocellus polymorphus
Phytoplankton,Bacillariophyta,Mediophyceae,Lithodesmiales,Lithodesmiaceae,Lithodesmium,Lithodesmium undulatum,Lithodesmium undulatum
Phytoplankton,Bacillariophyta,Mediophyceae,Triceratiales,Plagiogrammaceae,Dimeregramma,Dimeregramma acutum,Dimeregramma acutum
Phytoplankton,Bacillariophyta,Mediophyceae,Cymatosirales,Cymatosiraceae,Minutocellus,Minutocellus polymorphus,Minutocellus polymorphus
Phytoplankton,Bacillariophyta,Mediophyceae,Cymatosirales,Cymatosiraceae,Minutocellus,Minutocellus polymorphus,Minutocellus polymorphus
Phytoplankton,Bacillariophyta,Mediophyceae,Lithodesmiales,Lithodesmiaceae,Ditylum,Ditylum brightwellii,Ditylum brightwellii
Phytoplankton,Bacillariophyta,Mediophyceae,Cymatosirales,Cymatosiraceae,Minutocellus,Minutocellus polymorphus,Minutocellus polymorphus
Phytoplankton,Bacillariophyta,Mediophyceae,Hemiaulales,Hemiaulaceae,Hemiaulus,Hemiaulus sinensis,Hemiaulus sinensis
Phytoplankton,Bacillariophyta,Mediophyceae,Lithodesmiales,Lithodesmiaceae,Ditylum,Ditylum brightwellii,Ditylum brightwellii
Metazoa,Annelida,Clitellata,Enchytraeida,Enchytraeidae,Cernosvitoviella,Cernosvitoviella minor,Cernosvitoviella minor
Metazoa,Annelida,Polychaeta,Spionida,Spionidae,Prionospio,Prionospio fallax,Prionospio fallax
Metazoa,Annelida,Polychaeta,Unknown,Capitellidae,Dasybranchus,Dasybranchus sp. DH1,Dasybranchus sp. DH1
Metazoa,Cnidaria,Anthozoa,Unknown,Unknown,Unknown,Ceriantharia gen. n. sp. n. US-2023,Ceriantharia gen. n. sp. n. US-2023
Metazoa,Cnidaria,Anthozoa,Actiniaria,Edwardsiidae,Edwardsia,Edwardsia timida,Edwardsia timida
Metazoa,Cnidaria,Hydrozoa,Leptothecata,Aequoreidae,Aequorea,Aequorea sp. USNM IZ 1448486,Aequorea sp. USNM IZ 1448486
Metazoa,Cnidaria,Hydrozoa,Leptothecata,Aglaopheniidae,Aglaophenia,Aglaophenia pluma,Aglaophenia pluma
Metazoa,Cnidaria,Hydrozoa,Leptothecata,Aglaopheniidae,Aglaophenia,Aglaophenia tubulifera,Aglaophenia tubulifera
Metazoa,Cnidaria,Hydrozoa,Leptothecata,Aglaopheniidae,Aglaophenia,Aglaophenia tubulifera,Aglaophenia tubulifera
Metazoa,Cnidaria,Hydrozoa,Leptothecata,Aglaopheniidae,Aglaophenia,Aglaophenia tubulifera,Aglaophenia tubulifera
Metazoa,Cnidaria,Hydrozoa,Anthoathecata,Zancleidae,Apatizanclea,Apatizanclea divergens,Apatizanclea divergens
Metazoa,Cnidaria,Hydrozoa,Siphonophorae,Apolemiidae,Apolemia,Apolemia sp.,Apolemia sp.
Metazoa,Cnidaria,Hydrozoa,Anthoathecata,Bougainvilliidae,Bougainvillia,Bougainvillia muscus,Bougainvillia muscus
Metazoa,Cnidaria,Hydrozoa,Anthoathecata,Bougainvilliidae,Bougainvillia,Bougainvillia muscus,Bougainvillia muscus
Metazoa,Cnidaria,Hydrozoa,Anthoathecata,Bougainvilliidae,Bougainvillia,Bougainvillia muscus,Bougainvillia muscus
Metazoa,Cnidaria,Hydrozoa,Anthoathecata,Bougainvilliidae,Bougainvillia,Bougainvillia muscus,Bougainvillia muscus
Metazoa,Cnidaria,Hydrozoa,Anthoathecata,Bougainvilliidae,Bougainvillia,Bougainvillia muscus,Bougainvillia muscus
Metazoa,Cnidaria,Hydrozoa,Leptothecata,Clytiidae,Clytia,Clytia sp. 1 SL-2013,Clytia sp. 1 SL-2013
Metazoa,Cnidaria,Hydrozoa,Leptothecata,Clytiidae,Clytia,Clytia sp. 2 AFC-2016,Clytia sp. 2 AFC-2016
Metazoa,Cnidaria,Hydrozoa,Leptothecata,Clytiidae,Clytia,Clytia sp. 2 AFC-2016,Clytia sp. 2 AFC-2016
Metazoa,Cnidaria,Hydrozoa,Leptothecata,Clytiidae,Clytia,Clytia sp. 2 AFC-2016,Clytia sp. 2 AFC-2016
Metazoa,Cnidaria,Hydrozoa,Leptothecata,Clytiidae,Clytia,Clytia sp. 2 AFC-2016,Clytia sp. 2 AFC-2016
Metazoa,Cnidaria,Hydrozoa,Anthoathecata,Corynidae,Coryne,Coryne pintneri,Coryne pintneri
Metazoa,Cnidaria,Hydrozoa,Anthoathecata,Tubulariidae,Ectopleura,Ectopleura larynx,Ectopleura larynx
Metazoa,Cnidaria,Hydrozoa,Anthoathecata,Bougainvilliidae,Garveia,Garveia annulata,Garveia annulata
Metazoa,Cnidaria,Hydrozoa,Anthoathecata,Bougainvilliidae,Garveia,Garveia annulata,Garveia annulata
Metazoa,Cnidaria,Hydrozoa,Leptothecata,Haleciidae,Halecium,Halecium sp. BMOO-08734,Halecium sp. BMOO-08734
Metazoa,Annelida,Polychaeta,Terebellida,Terebellidae,Lanice,Lanice conchilega,Lanice conchilega
Metazoa,Annelida,Polychaeta,Terebellida,Terebellidae,Lanice,Lanice conchilega,Lanice conchilega
Metazoa,Annelida,Polychaeta,Terebellida,Terebellidae,Lanice,Lanice conchilega,Lanice conchilega
Metazoa,Cnidaria,Hydrozoa,Leptothecata,Laodiceidae,Laodicea,Laodicea sp. HAW02,Laodicea sp. HAW02
Metazoa,Cnidaria,Hydrozoa,Siphonophorae,Prayidae,Maresearsia,Maresearsia praeclara,Maresearsia praeclara
Metazoa,Cnidaria,Hydrozoa,Leptothecata,Mitrocomidae,Mitrocomella,Mitrocomella brownei,Mitrocomella brownei
Metazoa,Cnidaria,Hydrozoa,Leptothecata,Obeliidae,Obelia,Obelia bidentata,Obelia bidentata
Metazoa,Cnidaria,Hydrozoa,Leptothecata,Obeliidae,Obelia,Obelia bidentata,Obelia bidentata
Metazoa,Cnidaria,Hydrozoa,Leptothecata,Obeliidae,Obelia,Obelia bidentata,Obelia bidentata
Metazoa,Cnidaria,Hydrozoa,Leptothecata,Obeliidae,Obelia,Obelia dichotoma,Obelia dichotoma
Metazoa,Cnidaria,Hydrozoa,Leptothecata,Obeliidae,Obelia,Obelia dichotoma,Obelia dichotoma
Metazoa,Cnidaria,Hydrozoa,Leptothecata,Obeliidae,Obelia,Obelia sp. 3 SL-2013,Obelia sp. 3 SL-2013
Metazoa,Cnidaria,Hydrozoa,Leptothecata,Obeliidae,Obelia,Obelia sp. MZUSP 3356,Obelia sp. MZUSP 3356
Metazoa,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Orthopyxis,Orthopyxis crenata,Orthopyxis crenata
Metazoa,Cnidaria,Hydrozoa,Anthoathecata,Pennariidae,Pennaria,Pennaria disticha,Pennaria disticha
Metazoa,Cnidaria,Hydrozoa,Anthoathecata,Corynidae,Sarsia,Sarsia tubulosa,Sarsia tubulosa
Metazoa,Cnidaria,Hydrozoa,Siphonophorae,Unknown,Unknown,Siphonophorae sp. NHM_339,Siphonophorae sp. NHM_339
Metazoa,Cnidaria,Hydrozoa,Siphonophorae,Unknown,Unknown,Siphonophorae sp. NHM_339,Siphonophorae sp. NHM_339
Metazoa,Cnidaria,Hydrozoa,Siphonophorae,Unknown,Unknown,Siphonophorae sp. NHM_339,Siphonophorae sp. NHM_339
Metazoa,Annelida,Polychaeta,Terebellida,Terebellidae,Lanice,Lanice conchilega,Lanice conchilega
Metazoa,Cnidaria,Hydrozoa,Leptothecata,Obeliidae,Obelia,Obelia dichotoma,Obelia dichotoma
Metazoa,Cnidaria,Hydrozoa,Siphonophorae,Apolemiidae,Apolemia,Apolemia sp.,Apolemia sp.
Metazoa,Cnidaria,Hydrozoa,Anthoathecata,Corynidae,Sarsia,Sarsia tubulosa,Sarsia tubulosa
Metazoa,Cnidaria,Hydrozoa,Leptothecata,Eirenidae,Eutima,Eutima mira,Eutima mira
Metazoa,Cnidaria,Hydrozoa,Leptothecata,Aglaopheniidae,Aglaophenia,Aglaophenia pluma,Aglaophenia pluma
Metazoa,Cnidaria,Hydrozoa,Anthoathecata,Bougainvilliidae,Bougainvillia,Bougainvillia muscus,Bougainvillia muscus
Metazoa,Cnidaria,Hydrozoa,Leptothecata,Sertulariidae,Dynamena,Dynamena pumila,Dynamena pumila
Metazoa,Cnidaria,Hydrozoa,Siphonophorae,Forskaliidae,Forskalia,Forskalia tholoides,Forskalia tholoides
Metazoa,Cnidaria,Hydrozoa,Anthoathecata,Bougainvilliidae,Rhizorhagium,Rhizorhagium arenosum,Rhizorhagium arenosum
Metazoa,Cnidaria,Hydrozoa,Leptothecata,Obeliidae,Obelia,Obelia dichotoma,Obelia dichotoma
Metazoa,Annelida,Polychaeta,Terebellida,Trichobranchidae,Trichobranchus,Trichobranchus glacialis,Trichobranchus glacialis
Metazoa,Cnidaria,Hydrozoa,Anthoathecata,Bougainvilliidae,Bougainvillia,Bougainvillia muscus,Bougainvillia muscus
Metazoa,Cnidaria,Hydrozoa,Leptothecata,Clytiidae,Clytia,Clytia sp. 1 SL-2013,Clytia sp. 1 SL-2013
Metazoa,Cnidaria,Hydrozoa,Leptothecata,Clytiidae,Clytia,Clytia sp. 2 AFC-2016,Clytia sp. 2 AFC-2016
Metazoa,Cnidaria,Hydrozoa,Limnomedusae,Geryoniidae,Liriope,Liriope tetraphylla,Liriope tetraphylla
Metazoa,Cnidaria,Hydrozoa,Leptothecata,Clytiidae,Clytia,Clytia sp. 1 SL-2013,Clytia sp. 1 SL-2013
Metazoa,Cnidaria,Hydrozoa,Leptothecata,Clytiidae,Clytia,Clytia sp. 1 SL-2013,Clytia sp. 1 SL-2013
Metazoa,Cnidaria,Hydrozoa,Leptothecata,Clytiidae,Clytia,Clytia sp. 2 AFC-2016,Clytia sp. 2 AFC-2016
Metazoa,Cnidaria,Hydrozoa,Anthoathecata,Bougainvilliidae,Bougainvillia,Bougainvillia muscus,Bougainvillia muscus
Metazoa,Cnidaria,Hydrozoa,Leptothecata,Clytiidae,Clytia,Clytia sp. 1 SL-2013,Clytia sp. 1 SL-2013
Metazoa,Cnidaria,Hydrozoa,Anthoathecata,Corynidae,Coryne,Coryne pintneri,Coryne pintneri
Metazoa,Annelida,Polychaeta,Terebellida,Terebellidae,Lanice,Lanice conchilega,Lanice conchilega
Metazoa,Cnidaria,Hydrozoa,Leptothecata,Tiaropsidae,Tiaropsis,Tiaropsis multicirrata,Tiaropsis multicirrata
Metazoa,Cnidaria,Hydrozoa,Leptothecata,Obeliidae,Obelia,Obelia bidentata,Obelia bidentata
Metazoa,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Eucheilota,Eucheilota maculata,Eucheilota maculata
Metazoa,Cnidaria,Hydrozoa,Siphonophorae,Apolemiidae,Apolemia,Apolemia sp. 3 CWD-2005,Apolemia sp. 3 CWD-2005
Metazoa,Cnidaria,Hydrozoa,Leptothecata,Clytiidae,Clytia,Clytia sp. 2 AFC-2016,Clytia sp. 2 AFC-2016
Metazoa,Cnidaria,Hydrozoa,Trachymedusae,Halicreatidae,Botrynema,Botrynema brucei,Botrynema brucei
Metazoa,Cnidaria,Hydrozoa,Siphonophorae,Prayidae,Praya,Praya dubia,Praya dubia
Metazoa,Cnidaria,Hydrozoa,Leptothecata,Clytiidae,Clytia,Clytia sp. 2 AFC-2016,Clytia sp. 2 AFC-2016
Metazoa,Cnidaria,Hydrozoa,Anthoathecata,Pennariidae,Pennaria,Pennaria disticha,Pennaria disticha
Metazoa,Cnidaria,Scyphozoa,Rhizostomeae,Cassiopeidae,Cassiopea,Cassiopea xamachana,Cassiopea xamachana
Metazoa,Annelida,Polychaeta,Spionida,Spionidae,Malacoceros,Malacoceros cf. fuliginosus ZMBN 130837,Malacoceros cf. fuliginosus ZMBN 130837
Metazoa,Cnidaria,Scyphozoa,Semaeostomeae,Ulmaridae,Aurelia,Aurelia sp. 11 sensu Dawson et al. (2005),Aurelia sp. 11 sensu Dawson et al. (2005)
Metazoa,Cnidaria,Scyphozoa,Rhizostomeae,Cassiopeidae,Cassiopea,Cassiopea xamachana,Cassiopea xamachana
Metazoa,Cnidaria,Scyphozoa,Rhizostomeae,Cassiopeidae,Cassiopea,Cassiopea xamachana,Cassiopea xamachana
